Treatment,Sample ID,Soil mass.ext_grams,Elution.uL,DNA Concentration.ng/uL,Normalized Data 1,,Treatment,Sample ID,Soil mass.ext_grams,Elution.uL,DNA Concentration.ng/uL,Normalized Data 2
Oyster,DB_20180618_O1,0.22,75,16.4,5590.9091,,Bare,DB_20180618_B1,0.18,75,4.28,1783.3333
Oyster,DB_20180618_O2,0.16,75,12.4,5812.5,,Bare,DB_20180618_B2,0.23,75,3.95,1288.0435
Oyster,DB_20180818_O1,0.2,75,15.4,5775,,Bare,DB_20180818_B1,0.17,75,4.56,2011.7647
Oyster,DB_20180818_O2,0.28,75,16.8,4500,,Bare,DB_20180818_B2,0.17,75,9.48,4182.3529
Oyster,NP_20180612_O1,0.17,75,1.88,829.4118,,Bare,NP_20180612_B1,0.24,50,19.9,4145.8333
Oyster,NP_20180612_O2,0.17,50,6.04,1776.4706,,Bare,NP_20180612_B2,0.19,50,6.28,1652.6316
Oyster,NP_20180910_O1,0.18,75,4.4,1833.3333,,Bare,NP_20180910_B1,0.23,50,5.56,1208.6957
Oyster,NP_20180910_O2,0.22,75,5.08,1731.8182,,Bare,NP_20180910_B2,0.23,50,5.56,1208.6957
Oyster,RWU_20180727_O1,0.26,75,17.9,5163.4615,,Bare,RWU_20180727_B1,0.22,75,7.2,2454.5455
Oyster,RWU_20180727_O2,0.26,75,10.1,2913.4615,,Bare,RWU_20180727_B2,0.23,75,8.28,2700
Oyster,RWU_20180920_O1,0.2,75,11.4,4275,,Bare,RWU_20180920_B1,0.21,75,7.8,2785.7143
Oyster,RWU_20180920_O2,0.23,75,14.7,4793.4783,,Bare,RWU_20180920_B2,0.24,75,14.7,4593.75
Oyster,SB_20180803_O1,0.18,75,13.1,5458.3333,,Bare,SB_20180803_B1,0.18,75,5.4,2250
Oyster,SB_20180803_O2,0.17,75,17.5,7720.5882,,Bare,SB_20180803_B2,0.21,75,18.2,6500
Oyster,SB_20180927_O1,0.21,75,20.4,7285.7143,,Bare,SB_20180927_B1,0.185,75,13,5270.2703
Oyster,SB_20180927_O2,0.15,75,21.2,10600,,Bare,SB_20180927_B2,0.19,75,10.9,4302.6316
Oyster,TP_20180418_O1,0.19,75,20.8,8210.5263,,,,,,,
Oyster,TP_20180418_O2,0.13,75,35.5,20480.7692,,,,,,,
Oyster,TP_20180418_O3,0.21,75,17.9,6392.8571,,,,,,,
Oyster,TP_20180711_O1,0.26,75,10.4,3000,,,,,,,
Oyster,TP_20180711_O2,0.23,75,8.2,2673.913,,,,,,,
Oyster,TP_20181023_O1,0.17,75,11.9,5250,,,,,,,
Oyster,TP_20181023_O2,0.18,75,14.5,6041.6667,,,,,,,