Collection Date,Net Incubation Date,Isotope Incubation Date,Location,Lat,Long,Season,Treatment,Sample ID,Soil mass.ext_grams,Elution.uL,DNA Concentration.ng/uL
6/18/18,6/19/18,6/20/18,Duxbury Bay,42.02252,-70.64671,Summer,Oyster,DB_20180618_O1,0.22,75,16.4
6/18/18,6/19/18,6/20/18,Duxbury Bay,42.02252,-70.64671,Summer,Oyster,DB_20180618_O2,0.16,75,12.4
6/18/18,6/19/18,6/20/18,Duxbury Bay,42.02252,-70.64671,Summer,Bare,DB_20180618_B1,0.18,75,4.28
6/18/18,6/19/18,6/20/18,Duxbury Bay,42.02252,-70.64671,Summer,Bare,DB_20180618_B2,0.23,75,3.95
8/29/18,8/30/18,8/31/18,Duxbury Bay,42.02252,-70.64671,Summer,Oyster,DB_20180818_O1,0.2,75,15.4
8/29/18,8/30/18,8/31/18,Duxbury Bay,42.02252,-70.64671,Summer,Oyster,DB_20180818_O2,0.28,75,16.8
8/29/18,8/30/18,8/31/18,Duxbury Bay,42.02252,-70.64671,Summer,Bare,DB_20180818_B1,0.17,75,4.56
8/29/18,8/30/18,8/31/18,Duxbury Bay,42.02252,-70.64671,Summer,Bare,DB_20180818_B2,0.17,75,9.48
6/12/18,6/13/18,6/14/18,Ninigret Pond,41.62993,-71.23055,Summer,Oyster,NP_20180612_O1,0.17,75,1.88
6/12/18,6/13/18,6/14/18,Ninigret Pond,41.62993,-71.23055,Summer,Oyster,NP_20180612_O2,0.17,50,6.04
6/12/18,6/13/18,6/14/18,Ninigret Pond,41.62993,-71.23055,Summer,Bare,NP_20180612_B1,0.24,50,19.9
6/12/18,6/13/18,6/14/18,Ninigret Pond,41.62993,-71.23055,Summer,Bare,NP_20180612_B2,0.19,50,6.28
9/10/18,9/11/18,9/12/18,Ninigret Pond,41.62993,-71.23055,Fall,Oyster,NP_20180910_O1,0.18,75,4.4
9/10/18,9/11/18,9/12/18,Ninigret Pond,41.62993,-71.23055,Fall,Oyster,NP_20180910_O2,0.22,75,5.08
9/10/18,9/11/18,9/12/18,Ninigret Pond,41.62993,-71.23055,Fall,Bare,NP_20180910_B1,0.23,50,5.56
9/10/18,9/11/18,9/12/18,Ninigret Pond,41.62993,-71.23055,Fall,Bare,NP_20180910_B2,0.23,50,5.56
7/27/18,7/28/18,7/29/18,RWU,41.64982,-71.25644,Summer,Oyster,RWU_20180727_O1,0.26,75,17.9
7/27/18,7/28/18,7/29/18,RWU,41.64982,-71.25644,Summer,Oyster,RWU_20180727_O2,0.26,75,10.1
7/27/18,7/28/18,7/29/18,RWU,41.64982,-71.25644,Summer,Bare,RWU_20180727_B1,0.22,75,7.2
7/27/18,7/28/18,7/29/18,RWU,41.64982,-71.25644,Summer,Bare,RWU_20180727_B2,0.23,75,8.28
9/20/18,9/21/18,9/22/18,RWU,41.64982,-71.25644,Fall,Oyster,RWU_20180920_O1,0.2,75,11.4
9/20/18,9/21/18,9/22/18,RWU,41.64982,-71.25644,Fall,Oyster,RWU_20180920_O2,0.23,75,14.7
9/20/18,9/21/18,9/22/18,RWU,41.64982,-71.25644,Fall,Bare,RWU_20180920_B1,0.21,75,7.8
9/20/18,9/21/18,9/22/18,RWU,41.64982,-71.25644,Fall,Bare,RWU_20180920_B2,0.24,75,14.7
8/3/18,8/4/18,8/5/18,Saltbox,41.3574,-71.65565,Summer,Oyster,SB_20180803_O1,0.18,75,13.1
8/3/18,8/4/18,8/5/18,Saltbox,41.3574,-71.65565,Summer,Oyster,SB_20180803_O2,0.17,75,17.5
8/3/18,8/4/18,8/5/18,Saltbox,41.3574,-71.65565,Summer,Bare,SB_20180803_B1,0.18,75,5.4
8/3/18,8/4/18,8/5/18,Saltbox,41.3574,-71.65565,Summer,Bare,SB_20180803_B2,0.21,75,18.2
9/27/18,9/28/18,10/1/18,Saltbox,41.3574,-71.65565,Fall,Oyster,SB_20180927_O1,0.21,75,20.4
9/27/18,9/28/18,10/1/18,Saltbox,41.3574,-71.65565,Fall,Oyster,SB_20180927_O2,0.15,75,21.2
9/27/18,9/28/18,10/1/18,Saltbox,41.3574,-71.65565,Fall,Bare,SB_20180927_B1,0.185,75,13
9/27/18,9/28/18,10/1/18,Saltbox,41.3574,-71.65565,Fall,Bare,SB_20180927_B2,0.19,75,10.9
4/18/18,4/19/18,4/20/18,Town Pond,41.637078,-71.24357,Spring,Oyster,TP_20180418_O1,0.19,75,20.8
4/18/18,4/19/18,4/20/18,Town Pond,41.637078,-71.24357,Spring,Oyster,TP_20180418_O2,0.13,75,35.5
4/18/18,4/19/18,4/20/18,Town Pond,41.637078,-71.24357,Spring,Oyster,TP_20180418_O3,0.21,75,17.9
7/11/18,7/12/18,7/13/18,Town Pond,41.637078,-71.24357,Summer,Oyster,TP_20180711_O1,0.26,75,10.4
7/11/18,7/12/18,7/13/18,Town Pond,41.637078,-71.24357,Summer,Oyster,TP_20180711_O2,0.23,75,8.2
10/23/18,10/24/18,10/25/18,Town Pond,41.637078,-71.24357,Fall,Oyster,TP_20181023_O1,0.17,75,11.9
10/23/18,10/24/18,10/25/18,Town Pond,41.637078,-71.24357,Fall,Oyster,TP_20181023_O2,0.18,75,14.5